Data;24363 - Índice de Atividade Econômica do Banco Central - IBC-Br - Índice
01/2003;96,15
02/2003;98,67
03/2003;103,41
04/2003;102,19
05/2003;100,30
06/2003;98,58
07/2003;103,05
08/2003;101,47
09/2003;102,87
10/2003;105,06
11/2003;101,95
12/2003;99,74
01/2004;98,59
02/2004;99,45
03/2004;111,98
04/2004;107,36
05/2004;106,03
06/2004;107,00
07/2004;111,47
08/2004;110,65
09/2004;109,21
10/2004;108,89
11/2004;109,59
12/2004;107,56
01/2005;103,52
02/2005;104,00
03/2005;115,42
04/2005;112,35
05/2005;110,86
06/2005;111,50
07/2005;113,15
08/2005;115,15
09/2005;110,95
10/2005;111,33
11/2005;111,73
12/2005;111,25
01/2006;108,55
02/2006;107,80
03/2006;119,09
04/2006;112,61
05/2006;117,19
06/2006;114,40
07/2006;119,41
08/2006;121,06
09/2006;116,21
10/2006;119,33
11/2006;118,67
12/2006;116,30
01/2007;114,79
02/2007;113,33
03/2007;125,11
04/2007;120,29
05/2007;123,90
06/2007;122,38
07/2007;127,85
08/2007;129,05
09/2007;123,24
10/2007;129,17
11/2007;125,88
12/2007;122,43
01/2008;121,86
02/2008;121,91
03/2008;128,99
04/2008;129,48
05/2008;128,92
06/2008;130,59
07/2008;136,53
08/2008;133,87
09/2008;132,60
10/2008;132,80
11/2008;124,58
12/2008;118,90
01/2009;115,20
02/2009;115,26
03/2009;127,81
04/2009;123,09
05/2009;124,41
06/2009;125,61
07/2009;131,44
08/2009;130,70
09/2009;129,81
10/2009;132,48
11/2009;129,62
12/2009;129,23
01/2010;125,81
02/2010;127,61
03/2010;143,44
04/2010;136,87
05/2010;136,52
06/2010;136,09
07/2010;141,64
08/2010;141,55
09/2010;139,46
10/2010;139,33
11/2010;139,68
12/2010;136,69
01/2011;132,66
02/2011;136,18
03/2011;144,93
04/2011;139,89
05/2011;143,23
06/2011;141,75
07/2011;145,19
08/2011;147,51
09/2011;142,30
10/2011;142,02
11/2011;141,87
12/2011;139,23
01/2012;133,34
02/2012;135,35
03/2012;146,35
04/2012;139,85
05/2012;144,56
06/2012;142,28
07/2012;147,46
08/2012;149,91
09/2012;141,60
10/2012;147,71
11/2012;144,15
12/2012;139,52
01/2013;139,32
02/2013;136,14
03/2013;148,01
04/2013;149,79
05/2013;147,03
06/2013;144,87
07/2013;152,13
08/2013;151,81
09/2013;147,27
10/2013;151,90
11/2013;147,79
12/2013;145,77
01/2014;142,72
02/2014;143,53
03/2014;149,03
04/2014;147,69
05/2014;147,14
06/2014;140,88
07/2014;149,85
08/2014;148,27
09/2014;148,12
10/2014;149,70
11/2014;144,92
12/2014;145,48
01/2015;139,10
02/2015;136,81
03/2015;149,98
04/2015;142,66
05/2015;140,13
06/2015;139,01
07/2015;143,59
08/2015;141,14
09/2015;138,55
10/2015;140,45
11/2015;136,17
12/2015;136,39
01/2016;128,36
02/2016;130,80
03/2016;140,50
04/2016;136,01
05/2016;133,64
06/2016;135,32
07/2016;136,59
08/2016;138,18
09/2016;134,01
10/2016;132,68
11/2016;132,36
12/2016;133,34
01/2017;128,65
02/2017;129,65
03/2017;142,29
04/2017;133,83
05/2017;136,15
06/2017;135,14
07/2017;138,47
08/2017;140,26
09/2017;135,12
10/2017;136,08
11/2017;135,29
12/2017;136,03
01/2018;132,28
02/2018;130,11
03/2018;141,92
04/2018;139,21
05/2018;132,43
06/2018;137,30
07/2018;141,24
08/2018;143,61
09/2018;136,10
10/2018;140,00
11/2018;137,85
12/2018;136,51
01/2019;133,87
02/2019;133,52
03/2019;138,55
04/2019;138,86
05/2019;139,23
06/2019;135,16
07/2019;142,91
08/2019;142,24
09/2019;138,78
10/2019;143,14
11/2019;139,21
12/2019;138,27
01/2020;133,86
02/2020;134,30
03/2020;136,35
04/2020;119,07
05/2020;120,42
06/2020;126,62
07/2020;135,92
Fonte;BCB-Depec
